State,Favorite Cereal
Delaware,Cap’n Crunch
Illinois,Cinnamon Toast Crunch
Kentucky,Cookie Crisp
Arkansas,Froot Loops
North Carolina,Cinnamon Toast Crunch
Oregon,Froot Loops
Georgia,Froot Loops
Oklahoma,Froot Loops
Florida,Cinnamon Toast Crunch
Kansas,Cinnamon Toast Crunch
Connecticut,Kix
Massachusetts,Kix
West Virginia,Wheaties
Nebraska,Cinnamon Toast Crunch
Tennessee,Cinnamon Toast Crunch
Rhode Island,Honey Bunches of Oats
Wisconsin,Kix
Arizona,Apple Jacks
California,Honey Bunches of Oats
Michigan,Cinnamon Toast Crunch
Nevada,Honey Bunches of Oats
Washington,Froot Loops
Colorado,Froot Loops
Washington DC,Fruity Pebbles
Virginia,Cinnamon Toast Crunch
Wyoming,Frosted Mini-Wheats
New Mexico,Froot Loops
North Dakota,Fruity Pebbles
Iowa,Cookie Crisp
Ohio,Cinnamon Toast Crunch
Alabama,Frosted Flakes
Montana,Cinnamon Toast Crunch
Utah,Cap’n Crunch
Hawaii,Cocoa Puffs
Vermont,Honey Nut Cheerios
Missouri,Raisin Bran
South Carolina,Apple Jacks
Maryland,Cookie Crisp
New Jersey,Cookie Crisp
Indiana,Cinnamon Toast Crunch
Pennsylvania,Cinnamon Toast Crunch
South Dakota,Rice Krispies
Louisiana,Apple Jacks
Idaho,Cookie Crisp
New Hampshire,Cheerios
Maine,Frosted Flakes
Mississippi,Frosted Flakes
New York,Frosted Flakes
Minnesota,Cinnamon Toast Crunch
Texas,Froot Loops
Alaska,Cap’n Crunch